Gene,MeanTumor,MeanNormal,LogFC,PValue,Padj,AbsLogFC,ENSEMBL_clean,SYMBOL
ENSG00000183323,10.1408765219223,9.91628634662348,0.224590175298843,0.0327597421797284,0.0597634991249028,0.224590175298843,ENSG00000183323,CCDC125
ENSG00000140986,4.34476407845357,4.09173552959591,0.253028548857657,0.0327632758815791,0.0597679958848366,0.253028548857657,ENSG00000140986,RPL3L
ENSG00000282199,0.371266634665311,0.18814178573489,0.183124848930421,0.0327673371075732,0.0597715049003395,0.183124848930421,ENSG00000282199,
ENSG00000283313,0.106976081504681,0.0285714285714286,0.0784046529332523,0.0327667157563463,0.0597715049003395,0.0784046529332523,ENSG00000283313,LOC124900887
ENSG00000260269,1.16358505680865,0.859849643001374,0.303735413807274,0.0327776856811939,0.05978843168712,0.303735413807274,ENSG00000260269,
ENSG00000259165,0.853397593378862,0.547062997855492,0.30633459552337,0.0327821701342195,0.0597946612167984,0.30633459552337,ENSG00000259165,DDX18P1
ENSG00000237731,0.1063914542222,0.0285714285714286,0.0778200256507714,0.0328164201306828,0.059853228744922,0.0778200256507714,ENSG00000237731,RNGTTP1
ENSG00000253229,0.1063914542222,0.0285714285714286,0.0778200256507714,0.032816420130683,0.059853228744922,0.0778200256507714,ENSG00000253229,HIGD1AP6
ENSG00000169908,11.8532549105835,11.3511459195907,0.502108990992833,0.032820495766241,0.0598587099419389,0.502108990992833,ENSG00000169908,TM4SF1
ENSG00000278943,1.18809040905451,0.897619017141013,0.290471391913497,0.0328314787367684,0.0598767881132818,0.290471391913497,ENSG00000278943,
ENSG00000261140,0.701635138076068,0.442624374180848,0.25901076389522,0.0328473514185914,0.0599037824820789,0.25901076389522,ENSG00000261140,
ENSG00000167094,2.60183525402859,2.0578645725923,0.543970681436289,0.0328517246409476,0.0599098041862407,0.543970681436289,ENSG00000167094,TTC16
ENSG00000182022,10.162919672401,9.82917160354678,0.333748068854217,0.0328797094747267,0.0599588832337334,0.333748068854217,ENSG00000182022,CHST15
ENSG00000269054,3.85889756341846,3.54382743973988,0.315070123678579,0.0328960816503876,0.0599867831236501,0.315070123678579,ENSG00000269054,
ENSG00000230631,0.224659673722927,0.0857142857142857,0.138945388008641,0.0328979010133897,0.0599881446612358,0.138945388008641,ENSG00000230631,
ENSG00000251400,2.91653878657569,3.21614172081661,-0.299602934240921,0.0329110755005755,0.060010211097303,0.299602934240921,ENSG00000251400,ALDH7A1P1
ENSG00000216307,0.226525005855469,0.0857142857142857,0.140810720141183,0.0329140719598037,0.0600137180350878,0.140810720141183,ENSG00000216307,
ENSG00000137699,4.75087101134881,5.27765949097584,-0.52678847962703,0.0329222529347574,0.0600266775983014,0.52678847962703,ENSG00000137699,TRIM29
ENSG00000131019,4.31751232891094,4.72672186799198,-0.40920953908104,0.0329733781712614,0.060117933427663,0.40920953908104,ENSG00000131019,ULBP3
ENSG00000270116,1.1292278037158,0.791604920489441,0.337622883226355,0.0329822789693263,0.0601322011059455,0.337622883226355,ENSG00000270116,
ENSG00000179142,0.323077273852751,0.102427500020604,0.220649773832147,0.0330020103008688,0.060166213080954,0.220649773832147,ENSG00000179142,CYP11B2
ENSG00000251205,1.54349030814244,1.17049749672339,0.372992811419048,0.0330058718440359,0.0601712914510897,0.372992811419048,ENSG00000251205,LOC105378209
ENSG00000213179,0.433389723486253,0.233426428612637,0.199963294873616,0.0330175952660354,0.0601907016060514,0.199963294873616,ENSG00000213179,RPL17P41
ENSG00000111860,6.59456514507453,6.90834409422187,-0.313778949147348,0.0330389381445042,0.060227646083938,0.313778949147348,ENSG00000111860,CEP85L
ENSG00000142507,11.9406797672437,11.7793441305614,0.161335636682322,0.0330592048509219,0.060262626431751,0.161335636682322,ENSG00000142507,PSMB6
ENSG00000255222,1.5917600433448,1.25387996056472,0.337880082780081,0.0331028870489867,0.0603402865006497,0.337880082780081,ENSG00000255222,
ENSG00000221552,0.158345865390163,0.0571428571428571,0.101203008247306,0.0331200463780534,0.0603676292674132,0.101203008247306,ENSG00000221552,MIR1303
ENSG00000222287,0.158345865390163,0.0571428571428571,0.101203008247306,0.0331200463780534,0.0603676292674132,0.101203008247306,ENSG00000222287,RNU6-1043P
ENSG00000251000,4.51124109153612,4.87851420361596,-0.367273112079848,0.0331346540230079,0.0603922861050339,0.367273112079848,ENSG00000251000,
ENSG00000197181,5.51613568491566,5.86396304842311,-0.347827363507454,0.0331383330923616,0.0603970232112586,0.347827363507454,ENSG00000197181,PIWIL2
ENSG00000254543,0.541069838609922,0.330998928592033,0.210070910017889,0.0331535104313218,0.0604227157587139,0.210070910017889,ENSG00000254543,
ENSG00000136750,0.271691966930874,0.0857142857142857,0.185977681216588,0.0331724405109168,0.0604552458286292,0.185977681216588,ENSG00000136750,GAD2
ENSG00000200345,1.36266024541971,0.958455674768012,0.404204570651698,0.0331871297202266,0.0604800452393441,0.404204570651698,ENSG00000200345,RNU6-485P
ENSG00000166455,0.538191141559906,0.797851785817308,-0.259660644257402,0.0332015837698516,0.0605044144940086,0.259660644257402,ENSG00000166455,C16orf46
