Sample,Class,PC1,PC2
TCGA-DD-A4NG-01A,Tumor,-3.44456999801657,-1.72156617040314
TCGA-EP-A12J-11A,Normal,7.80808534783931,1.01717096432513
TCGA-EP-A12J-01A,Tumor,-0.649900485455022,-1.92502879376695
TCGA-2Y-A9GS-01A,Tumor,-0.431625083505685,-0.85668393751355
TCGA-BC-A10T-11A,Normal,8.9146676928804,0.764719462234871
TCGA-DD-AADO-01A,Tumor,-4.55768025525757,1.70917455260778
TCGA-DD-AADP-01A,Tumor,-0.834054962465055,1.38157991843365
TCGA-DD-AADI-01A,Tumor,-0.513887740002773,4.45727513105445
TCGA-ED-A627-01A,Tumor,8.88509601635155,2.13313379544432
TCGA-CC-5263-01A,Tumor,-3.92319401823242,3.23373913537306
TCGA-G3-A5SL-01A,Tumor,0.114156158621674,-2.07845835609018
TCGA-DD-A4NS-01A,Tumor,7.08930589375378,1.68398701507233
TCGA-DD-A113-11A,Normal,9.07359382721665,0.265967923266315
TCGA-DD-AACE-01A,Tumor,-2.01068587931246,-3.83357775226991
TCGA-RC-A7SK-01A,Tumor,-0.289840534603746,-1.71184618836264
TCGA-DD-AAEA-01A,Tumor,-3.90276837934681,-2.55435227345044
TCGA-DD-AACG-01A,Tumor,-6.08706354439404,-0.307165844252797
TCGA-QA-A7B7-01A,Tumor,-3.63856395884174,-3.42669629510203
TCGA-FV-A495-01A,Tumor,3.54814953856409,-0.0139295896858748
TCGA-DD-A4NN-01A,Tumor,-2.68672634996327,3.69390982770861
TCGA-G3-A25U-01A,Tumor,-0.424273243184726,-4.68362481394738
TCGA-ED-A4XI-01A,Tumor,6.45675809092663,1.45751448121341
TCGA-DD-A39Y-01A,Tumor,-3.88650673659193,0.0481086228087513
TCGA-LG-A6GG-01A,Tumor,-3.56590266957194,-2.99292945152443
TCGA-DD-A4NA-01A,Tumor,-4.54050535085822,6.67858163200005
TCGA-BW-A5NQ-01A,Tumor,-5.52366069665088,0.547275329849379
TCGA-2Y-A9GV-01A,Tumor,0.803002388115321,-3.11609886909475
TCGA-G3-A3CJ-01A,Tumor,-1.43837241871742,-2.09389040924474
